pid,n_scs_total,n_scs_strong,n_branches,S,K,merger_richness,C_fourier,n_sign_changes,phase
256,108,5,5,1.4130537760544573,1.9130537760544573,2,0.5335681077892286,4,StrongMerger
257,26,3,4,1.251715516655292,1.551715516655292,2,0.5880881149165528,3,StrongMerger
258,0,0,1,0.0,0.0,0,2.1680554958795493,0,Trivial
259,171,4,2,0.6434915530192904,1.0434915530192903,2,1.07254390016481,1,StrongMerger
260,75,6,2,0.5445089017353929,1.144508901735393,2,2.4036384232462904,1,StrongMerger
261,7,0,4,1.1194375712744593,1.1194375712744593,0,0.552253405783623,3,Trivial
262,0,0,4,1.2475888142005556,1.2475888142005556,0,0.17315121151436366,3,Trivial
263,23,2,3,0.9387548872637547,1.1387548872637547,2,0.43549915626049573,2,StrongMerger
264,72,4,1,0.0,0.4,0,3.610794547301032,0,Fragmented
265,0,0,2,0.37677016125643675,0.37677016125643675,0,2.002231725929387,1,Trivial
266,15,2,2,0.6434915530192904,0.8434915530192904,2,1.5828484578778976,1,StrongMerger
267,239,6,2,0.27416591535017265,0.8741659153501727,2,5.858227353177868,1,StrongMerger
268,0,0,1,0.0,0.0,0,2.565187770870732,0,Trivial
269,21,1,3,0.6382837577939022,0.7382837577939022,2,0.35348948434447663,2,StrongMerger
270,52,2,6,1.4146688980831414,1.6146688980831414,2,2.6212149060055343,5,StrongMerger
271,0,0,2,0.37677016125643675,0.37677016125643675,0,0.20868459492648644,1,Trivial
272,27,1,3,0.8280535277004324,0.9280535277004324,2,0.6004888739577672,2,StrongMerger
273,0,0,1,0.0,0.0,0,3.2274268870247353,0,Trivial
274,0,0,2,0.6434915530192904,0.6434915530192904,0,0.0852066589003656,1,Trivial
275,0,0,1,0.0,0.0,0,3.4626377968049806,0,Trivial
276,128,8,4,1.2805362176937078,2.080536217693708,2,0.7158491479875316,3,StrongMerger
277,89,3,2,0.6081931982998787,0.9081931982998788,2,1.3568894364617867,1,StrongMerger
278,102,4,4,1.191368861604099,1.5913688616040988,2,0.7124943896727491,3,StrongMerger
279,91,3,2,0.5941300227248385,0.8941300227248385,2,1.13252257691508,1,StrongMerger
280,9,0,2,0.18920898053816695,0.18920898053816695,0,6.970416940363034,1,Trivial
281,136,6,2,0.13906079845474112,0.7390607984547413,2,2.183757418826967,1,StrongMerger
282,106,5,4,1.2726280088306896,1.7726280088306896,2,0.7652717906185266,3,StrongMerger
283,0,0,1,0.0,0.0,0,2.8460742632993585,0,Trivial
284,145,7,2,0.6911927820032008,1.3911927820032008,2,1.2273199719839265,1,StrongMerger
285,57,2,4,1.1247658944266843,1.3247658944266842,2,0.23267709533081737,3,StrongMerger
286,45,4,2,0.40609642111261135,0.8060964211126114,2,1.7040697464589822,1,StrongMerger
287,55,2,2,0.6911927820032008,0.8911927820032008,2,1.135048333778481,1,StrongMerger
288,82,0,4,0.6442697621096568,0.6442697621096568,0,1.1026301108721597,3,Trivial
289,69,4,2,0.6081931982998787,1.0081931982998786,2,2.8001529167247505,1,StrongMerger
290,0,0,2,0.27416591535017265,0.27416591535017265,0,5.966991510167261,1,Trivial
291,0,0,1,0.0,0.0,0,5.879955928562619,0,Trivial
292,76,6,2,0.6081931982998787,1.2081931982998788,2,3.727364152007566,1,StrongMerger
293,54,4,2,0.6615632381579821,1.0615632381579823,2,3.668647182319437,1,StrongMerger
294,7,4,3,0.9372606504622131,1.337260650462213,2,0.5142286914554715,2,StrongMerger
295,0,0,1,0.0,0.0,0,2.9909057004393484,0,Trivial
296,0,0,2,0.6328428307500615,0.6328428307500615,0,1.0212701211632447,1,Trivial
297,0,0,1,0.0,0.0,0,4.942633306851072,0,Trivial
298,121,3,2,0.6926588198060253,0.9926588198060253,2,1.2477020947976922,1,StrongMerger
299,0,0,2,0.5253213195155949,0.5253213195155949,0,6.893886626193085,1,Trivial
300,0,0,3,0.9624037646424741,0.9624037646424741,0,2.3918200625377835,2,Trivial
301,0,0,2,0.6931471805599453,0.6931471805599453,0,0.2353726397549495,1,Trivial
302,14,2,2,0.34520662539160074,0.5452066253916008,1,1.1229689339978584,1,WeakMerger
303,0,0,3,0.9119687210766132,0.9119687210766132,0,0.19750275075644422,2,Trivial
304,0,0,1,0.0,0.0,0,2.842159436965444,0,Trivial
305,0,0,2,0.45884684243710105,0.45884684243710105,0,1.77937438895617,1,Trivial
306,25,1,3,0.46341355882643,0.56341355882643,1,4.422431234996803,2,WeakMerger
307,0,0,4,0.8635676014998057,0.8635676014998057,0,0.7310074817868661,3,Trivial
308,12,3,2,0.6887461892700277,0.9887461892700278,2,2.031212202934477,1,StrongMerger
309,112,6,1,0.0,0.6000000000000001,0,3.4563741505365937,0,Fragmented
310,0,0,1,0.0,0.0,0,3.87685224289194,0,Trivial
311,0,0,3,0.7625160394559622,0.7625160394559622,0,2.6012745807656033,2,Trivial
312,35,2,3,0.7265151906889236,0.9265151906889235,2,0.9279890029426763,2,StrongMerger
313,0,0,1,0.0,0.0,0,1.3212875715843448,0,Trivial
314,0,0,2,0.08048483706800685,0.08048483706800685,0,4.45453938114653,1,Trivial
315,92,3,1,0.0,0.30000000000000004,0,0.9020222850816394,0,Fragmented
316,6,2,2,0.6690268361602776,0.8690268361602775,2,2.51907007616553,1,StrongMerger
317,100,4,2,0.6690268361602776,1.0690268361602775,2,0.9634889653697901,1,StrongMerger
318,5,4,3,0.9840865030829147,1.3840865030829148,2,0.8391678463112615,2,StrongMerger
319,126,7,5,1.4791238846567714,2.1791238846567715,2,0.8218079999974132,4,StrongMerger
320,62,3,3,1.0004907356379178,1.3004907356379178,2,1.490149998394315,2,StrongMerger
321,0,0,3,0.6769472652630829,0.6769472652630829,0,0.766042230822723,2,Trivial
322,13,2,3,0.5363593120000422,0.7363593120000422,2,0.9486410705763086,2,StrongMerger
